Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
UFPI,"Universal Forest Products, Inc.",108.86,2223114427,n/a,1993,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/ufpi
USAP,"Universal Stainless & Alloy Products, Inc.",21.79,157504155.8,n/a,1994,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/usap
URG,Ur Energy Inc,0.502,73296620.91,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/urg
UEC,Uranium Energy Corp.,1.2,187029002.4,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/uec
VALE,VALE S.A.,10.28,52976694239,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/vale
VHI,"Valhi, Inc.",3.36,1139614389,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/vhi
VVV,Valvoline Inc.,24.03,4869083676,n/a,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/vvv
VNTR,Venator Materials PLC,23.85,2534580331,n/a,2017,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/vntr
VRS,Verso Corporation,6.91,238087318.4,n/a,2016,Basic Industries,Paper,http://www.nasdaq.com/symbol/vrs
VSM,"Versum Materials, Inc.",39.69,4318100976,n/a,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/vsm
VERU,Veru Inc.,1.88,100031865.3,n/a,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/veru
VGZ,Vista Gold Corporation,0.7303,72600588.71,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/vgz
VMC,Vulcan Materials Company,121.61,16085962142,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/vmc
GRA,W.R. Grace & Co.,71.5,4878227712,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/gra
WDFC,WD-40 Company,110.85,1553738226,n/a,1973,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/wdfc
WST,"West Pharmaceutical Services, Inc.",93.84,6944390283,n/a,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/wst
WRN,Western Copper and Gold Corporation,1.1,106245995.9,n/a,2011,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/wrn
WLK,Westlake Chemical Corporation,83.82,10817422035,n/a,2004,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/wlk
WLKP,Westlake Chemical Partners LP,22.9,738175317,n/a,2014,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/wlkp
WWR,"Westwater Resources, Inc.",1.1,30224601,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/wwr
WPM,Wheaton Precious Metals Corp.,20.91,9242332998,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/wpm
XRM,"Xerium Technologies, Inc.",4.82,78764902.12,n/a,2005,Basic Industries,Textiles,http://www.nasdaq.com/symbol/xrm
XIN,Xinyuan Real Estate Co Ltd,5.66,367803904.5,n/a,2007,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/xin
AUY,Yamana Gold Inc.,2.72,2579319299,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/auy
YTEN,"Yield10 Bioscience, Inc.",3.42,11814735.42,n/a,n/a,Basic Industries,Containers/Packaging,http://www.nasdaq.com/symbol/yten
