"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"MCF","Contango Oil & Gas Company","4.11","105256401.3","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mcf",
"CLR","Continental Resources, Inc.","37.9","14220805860.8","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/clr",
"CLB","Core Laboratories N.V.","89.49","3949918926.96","n/a","1995","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/clb",
"CPG","Crescent Point Energy Corporation","7.23","3943607469.27","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cpg",
"CRT","Cross Timbers Royalty Trust","14.84","89040000","n/a","1992","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crt",
"CAPL","CrossAmerica Partners LP","26.11","884109848.37","n/a","2012","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/capl",
"CCLP","CSI Compressco LP","5.4","195524798.4","n/a","2011","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/cclp",
"CMI","Cummins Inc.","177.1","29685609676.8","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cmi",
"CVI","CVR Energy Inc.","27.41","2380039080.5","n/a","2007","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvi",
"CVRR","CVR Refining, LP","10.8","1594080000","n/a","2013","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvrr",
"CELP","Cypress Energy Partners, L.P.","7.95","94468212.3","n/a","2014","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/celp",
"DWSN","Dawson Geophysical Company","4.33","93968196.46","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dwsn",
"DKL","Delek Logistics Partners, L.P.","29.15","710136471.55","n/a","2012","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/dkl",
"DK","Delek US Holdings, Inc.","25.56","2080800544.32","n/a","2017","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/dk",
"DNR","Denbury Resources Inc.","1.19","479624653.13","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dnr",
"DVN","Devon Energy Corporation","34.93","18356241779.33","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dvn",
"DO","Diamond Offshore Drilling, Inc.","15.28","2096828422.48","n/a","1995","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/do",
"FANG","Diamondback Energy, Inc.","102.53","10061555266.29","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fang",
"DMLP","Dorchester Minerals, L.P.","14.5","468056723","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dmlp",
"DRQ","Dril-Quip, Inc.","40.3","1524875027","n/a","1997","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/drq",
"ESTE","Earthstone Energy, Inc.","9.04","533109384.08","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/este",
"ECT","ECA Marcellus Trust I","2.35","41371750","n/a","2010","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ect",
"ECR","Eclipse Resources Corporation","2.26","593788878.92","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ecr",
"EC","Ecopetrol S.A.","9.94","20434997255.96","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ec",
"ESES","Eco-Stim Energy Solutions, Inc.","1.33","98903848.68","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/eses",
"EMR","Emerson Electric Company","65.78","42100490340.48","n/a","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/emr",
"EEQ","Enbridge Energy Management LLC","14.36","1257497632.28","n/a","2002","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eeq",
"EEP","Enbridge Energy, L.P.","14.99","7557650690.01","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/eep",
"ENB","Enbridge Inc","39.31","64701410378.79","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/enb",
"ECA","Encana Corporation","11.38","11074355868.96","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eca",
"NDRO","Enduro Royalty Trust","4.05","133650000","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ndro",
"EGN","Energen Corporation","52.67","5119375207.25","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/egn",
"ETP","Energy Transfer Partners, L.P.","17.54","25214092871.92","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/etp",
"EXXI","Energy XXI Gulf Coast, Inc.","8.51","282714343.77","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/exxi",
